Date,Open,High,Low,Close,Volume
20170717,112.442,112.867,112.328,112.621,164759.579685
20170718,112.623,112.686,111.686,112.061,185687.309577
20170719,112.064,112.231,111.554,111.968,200185.549617
20170720,111.968,112.418,111.477,111.887,200089.589529
20170721,111.888,112.077,111.012,111.121,162322.569616
20170724,111.101,111.317,110.622,111.086,154505.409637
20170725,111.086,111.958,110.828,111.885,181887.289351
20170726,111.879,112.199,111.06,111.166,194898.769336
20170727,111.166,111.711,110.781,111.227,244356.749441
20170728,111.228,111.329,110.548,110.69,192626.989547
20170731,110.629,110.774,110.215,110.253,161784.359656
20170801,110.246,110.588,109.919,110.351,205652.809578
20170802,110.356,110.984,110.283,110.725,207902.579553
20170803,110.723,110.826,109.855,110.039,175736.339615
20170804,110.039,111.048,109.845,110.662,172729.929595
20170807,110.707,110.919,110.645,110.743,144441.139581
20170808,110.743,110.829,110.248,110.312,134134.359705
20170809,110.317,110.361,109.559,110.054,407434.051633
20170810,110.053,110.179,109.147,109.188,175016.679696
20170811,109.188,109.401,108.729,109.168,184948.039692
20170814,109.155,109.801,109.049,109.621,159454.469759
20170815,109.621,110.848,109.607,110.666,170274.099926
20170816,110.666,110.948,110.029,110.188,150569.859745
20170817,110.186,110.369,109.445,109.56,215542.209649
20170818,109.56,109.599,108.602,109.183,213094.069634
20170821,109.343,109.423,108.637,108.967,158519.189911
20170822,108.967,109.654,108.854,109.552,137066.189889
20170823,109.55,109.824,108.92,109.039,163568.769679
20170824,109.04,109.605,108.847,109.553,166313.279762
20170825,109.553,109.842,109.113,109.337,181876.549748
20170828,109.163,109.413,109.025,109.241,120902.149899
20170829,109.231,109.899,108.266,109.692,254219.589744
20170830,109.692,110.439,109.541,110.236,190402.679829
20170831,110.233,110.67,109.879,109.965,188623.719814
20170901,109.966,110.488,109.563,110.239,181320.529667
20170904,109.506,109.934,109.383,109.714,116924.979982
20170905,109.713,109.833,108.632,108.798,171474.219709
20170906,108.798,109.396,108.453,109.207,171660.929667
20170907,109.209,109.263,108.047,108.437,185514.779625
20170908,108.431,108.485,107.318,107.842,197557.409698
20170911,108.156,109.507,108.126,109.38,156490.879784
20170912,109.361,110.253,109.239,110.154,171500.359712
20170913,110.15,110.689,109.905,110.477,158238.589874
20170914,110.475,111.039,110.068,110.233,165537.099852
20170915,110.234,111.334,109.55,110.826,191367.039868
20170918,111.055,111.662,110.996,111.563,145149.649856
20170919,111.564,111.88,111.203,111.583,184186.179739
20170920,111.582,112.528,111.106,112.209,216657.749781
20170921,112.206,112.715,112.136,112.458,298673.010342
20170922,112.459,112.553,111.653,111.988,193259.410145
20170925,112.138,112.528,111.475,111.727,191994.859788
20170926,111.723,112.476,111.498,112.221,174053.609846
20170927,112.218,113.257,112.217,112.819,199118.909734
20170928,112.815,113.208,112.252,112.333,195724.679739
20170929,112.336,112.735,112.213,112.471,198433.210027
20171002,112.642,113.058,112.451,112.751,152418.25982
20171003,112.752,113.195,112.655,112.844,166080.099867
20171004,112.842,112.937,112.323,112.75,170692.949635
20171005,112.749,112.919,112.414,112.811,155694.629687
20171006,112.813,113.438,112.606,112.614,177960.809617
20171009,112.565,112.745,112.33,112.688,106030.349741
20171010,112.688,112.828,111.99,112.443,156015.629568
20171011,112.443,112.584,112.08,112.485,152940.009662
20171012,112.484,112.522,112.125,112.277,161440.86969
20171013,112.277,112.305,111.686,111.825,166225.549529
20171016,111.751,112.289,111.653,112.186,137018.199702
20171017,112.192,112.478,112.037,112.195,145242.779709
20171018,112.195,113.05,112.133,112.925,149985.109721
20171019,112.929,113.147,112.292,112.533,171776.09969
20171020,112.528,113.569,112.513,113.511,173015.939687
20171023,113.864,114.099,113.244,113.432,154461.31968
20171024,113.43,114.023,113.248,113.891,161575.38969
20171025,113.895,114.242,113.481,113.74,190727.149634
20171026,113.74,114.079,113.341,113.974,170973.009743
20171027,113.97,114.45,113.644,113.673,173852.529852
20171030,113.718,113.835,113.028,113.173,133145.499772
20171031,113.173,113.731,112.955,113.634,147308.259833
20171101,113.633,114.28,113.604,114.173,163927.069974
20171102,114.171,114.216,113.537,114.088,176427.289942
20171106,114.085,114.735,113.632,113.7,279708.880025
20171107,113.705,114.339,113.697,114.013,146600.749982
20171108,113.991,114.019,113.393,113.868,134996.670006
20171109,113.867,114.068,113.091,113.469,187336.209563
20171110,113.469,113.635,113.22,113.495,146325.899795
20171113,113.433,113.714,113.244,113.624,124192.530163
20171114,113.623,113.91,113.308,113.451,134385.599986
20171116,113.451,113.496,112.478,113.052,324795.280107
20171117,113.043,113.143,111.945,112.072,161483.030196
20171120,112.111,112.719,111.884,112.621,164096.92014
20171121,112.616,112.703,112.176,112.441,145348.4901
20171122,112.444,112.495,111.141,111.215,153396.070218
