date,month,day,week,weekday,highLow,openClose,volume
20170817,8,17,3,3,0.924,-0.626,215542.209649
20170818,8,18,3,4,0.997,-0.377,213094.069634
20170821,8,21,4,0,0.786,-0.376,158519.189911
20170822,8,22,4,1,0.8,0.585,137066.189889
20170823,8,23,4,2,0.904,-0.511,163568.769679
20170824,8,24,4,3,0.758,0.513,166313.279762
20170825,8,25,4,4,0.729,-0.216,181876.549748
20170828,8,28,5,0,0.388,0.078,120902.149899
20170829,8,29,5,1,1.633,0.461,254219.589744
20170830,8,30,5,2,0.898,0.544,190402.679829
20170831,8,31,5,3,0.791,-0.268,188623.719814
20170901,9,1,1,4,0.925,0.273,181320.529667
20170904,9,4,2,0,0.551,0.208,116924.979982
20170905,9,5,2,1,1.201,-0.915,171474.219709
20170906,9,6,2,2,0.943,0.409,171660.929667
20170907,9,7,2,3,1.216,-0.772,185514.779625
20170908,9,8,2,4,1.167,-0.589,197557.409698
20170911,9,11,3,0,1.381,1.224,156490.879784
20170912,9,12,3,1,1.014,0.793,171500.359712
20170913,9,13,3,2,0.784,0.327,158238.589874
20170914,9,14,3,3,0.971,-0.242,165537.099852
20170915,9,15,3,4,1.784,0.592,191367.039868
20170918,9,18,4,0,0.666,0.508,145149.649856
20170919,9,19,4,1,0.677,0.019,184186.179739
20170920,9,20,4,2,1.422,0.627,216657.749781
20170921,9,21,4,3,0.579,0.252,298673.010342
20170922,9,22,4,4,0.9,-0.471,193259.410145
20170925,9,25,5,0,1.053,-0.411,191994.859788
20170926,9,26,5,1,0.978,0.498,174053.609846
20170927,9,27,5,2,1.04,0.601,199118.909734
20170928,9,28,5,3,0.956,-0.482,195724.679739
20170929,9,29,5,4,0.522,0.135,198433.210027
20171002,10,2,1,0,0.607,0.109,152418.25982
20171003,10,3,1,1,0.54,0.092,166080.099867
20171004,10,4,1,2,0.614,-0.092,170692.949635
20171005,10,5,1,3,0.505,0.062,155694.629687
20171006,10,6,1,4,0.832,-0.199,177960.809617
20171009,10,9,2,0,0.415,0.123,106030.349741
20171010,10,10,2,1,0.838,-0.245,156015.629568
20171011,10,11,2,2,0.504,0.042,152940.009662
20171012,10,12,2,3,0.397,-0.207,161440.86969
20171013,10,13,2,4,0.619,-0.452,166225.549529
20171016,10,16,3,0,0.636,0.435,137018.199702
20171017,10,17,3,1,0.441,0.00299999999999,145242.779709
20171018,10,18,3,2,0.917,0.73,149985.109721
20171019,10,19,3,3,0.855,-0.396,171776.09969
20171020,10,20,3,4,1.056,0.983,173015.939687
20171023,10,23,4,0,0.855,-0.432,154461.31968
20171024,10,24,4,1,0.775,0.461,161575.38969
20171025,10,25,4,2,0.761,-0.155,190727.149634
20171026,10,26,4,3,0.738,0.234,170973.009743
20171027,10,27,4,4,0.806,-0.297,173852.529852
20171030,10,30,5,0,0.807,-0.545,133145.499772
20171031,10,31,5,1,0.776,0.461,147308.259833
20171101,11,1,1,2,0.676,0.54,163927.069974
20171102,11,2,1,3,0.679,-0.083,176427.289942
20171106,11,6,2,0,1.103,-0.385,279708.880025
20171107,11,7,2,1,0.642,0.308,146600.749982
20171108,11,8,2,2,0.626,-0.123,134996.670006
20171109,11,9,2,3,0.977,-0.398,187336.209563
20171110,11,10,2,4,0.415,0.026,146325.899795
20171113,11,13,3,0,0.47,0.191,124192.530163
20171114,11,14,3,1,0.602,-0.172,134385.599986
20171116,11,16,3,3,1.018,-0.399,324795.280107
20171117,11,17,3,4,1.198,-0.971,161483.030196
20171120,11,20,4,0,0.835,0.51,164096.92014
20171121,11,21,4,1,0.527,-0.175,145348.4901
20171122,11,22,4,2,1.354,-1.229,153396.070218
20171123,11,23,4,3,0.309,-0.003,106113.630306
20171124,11,24,4,4,0.43,0.3,125643.550172
