date,month,day,week,weekday,highLow,openClose,volume
20160310,3,10,2,3,1.836,-0.158,241869.590004
20160311,3,11,2,4,1.164,0.706,188227.589809
20160314,3,14,3,0,0.501,-0.112,140639.269781
20160315,3,15,3,1,1.506,-0.701,169235.559725
20160316,3,16,3,2,1.488,-0.546,181064.749702
20160317,3,17,3,3,2.29,-1.155,224131.019743
20160318,3,18,3,4,0.939,0.254,173492.749849
20160321,3,21,4,0,0.714,0.218,130470.16995
20160322,3,22,4,1,1.109,0.439,177959.599851
20160323,3,23,4,2,0.764,0.131,163813.969949
20160324,3,24,4,3,0.712,0.372,137741.039983
20160325,3,25,4,4,0.573,0.291,56045.6500829
20160328,3,28,5,0,0.676,0.279,85172.7998346
20160329,3,29,5,1,1.191,-0.757,150422.339831
20160330,3,30,5,2,0.79,-0.194,154415.220135
20160331,3,31,5,3,0.55,0.097,145372.939895
20160401,4,1,1,4,1.012,-0.901,172035.439992
20160404,4,4,2,0,0.701,-0.327,145573.920078
20160405,4,5,2,1,1.402,-1.004,189468.080237
20160406,4,6,2,2,1.296,-0.563,161731.630101
20160407,4,7,2,3,2.237,-1.361,205094.840015
20160408,4,8,2,4,1.029,-0.224,169629.910156
20160411,4,11,3,0,0.81,-0.266,179012.770155
20160412,4,12,3,1,0.916,0.558,155005.05021
20160413,4,13,3,2,0.947,0.807,146750.970222
20160414,4,14,3,3,0.647,0.156,136440.730188
20160415,4,15,3,4,1.128,-0.711,118822.780137
20160418,4,18,4,0,1.15,0.076,155382.950191
20160419,4,19,4,1,0.742,0.371,146222.700128
20160420,4,20,4,2,1.115,0.608,151435.110155
20160421,4,21,4,3,0.572,-0.315,167527.780123
20160422,4,22,4,4,2.546,2.158,187421.030157
20160425,4,25,5,0,1.039,-0.434,169810.930141
20160426,4,26,5,1,0.804,0.251,154512.660333
20160427,4,27,5,2,0.729,0.132,156145.630247
20160428,4,28,5,3,4.019,-3.554,214394.530266
20160429,4,29,5,4,1.923,-1.628,200380.200237
20160502,5,2,1,0,0.68,0.072,170860.190273
20160503,5,3,1,1,0.93,-0.012,152082.560345
20160504,5,4,1,2,1.208,0.451,155870.050217
20160505,5,5,1,3,0.696,0.342,111500.900226
20160506,5,6,1,4,0.985,-0.093,152067.640322
20160509,5,9,2,0,1.553,1.236,140262.040227
20160510,5,10,2,1,1.076,0.907,143174.660268
20160511,5,11,2,2,1.002,-0.827,130168.84028
20160512,5,12,2,3,1.168,0.616,146985.570283
20160513,5,13,2,4,1.041,-0.441,166133.230188
20160516,5,16,3,0,0.629,0.319,106144.430246
20160517,5,17,3,1,0.81,0.128,127451.170233
20160518,5,18,3,2,1.524,1.151,154647.450207
20160519,5,19,3,3,0.682,-0.278,156785.460201
20160520,5,20,3,4,0.739,0.199,119366.400249
20160523,5,23,4,0,1.131,-0.918,127555.160233
20160524,5,24,4,1,0.957,0.756,124021.070072
20160525,5,25,4,2,0.584,0.149,123801.020125
20160526,5,26,4,3,0.813,-0.417,133053.300113
20160527,5,27,4,4,0.973,0.684,127065.450058
20160530,5,30,5,0,1.221,0.722,102722.490091
20160531,5,31,5,1,0.848,-0.422,145861.700142
20160601,6,1,1,2,1.779,-1.208,171809.840067
20160602,6,2,1,3,1.073,-0.705,170816.220057
20160603,6,3,1,4,2.587,-2.174,194917.440108
20160606,6,6,2,0,1.219,0.938,183453.850218
20160607,6,7,2,1,0.751,-0.24,147666.090182
20160608,6,8,2,2,0.797,-0.3,144522.910263
20160609,6,9,2,3,0.919,0.043,150200.770214
20160610,6,10,2,4,0.703,-0.304,142250.700286
20160613,6,13,3,0,1.272,-0.575,183020.170264
20160614,6,14,3,1,0.793,-0.057,175447.230205
20160615,6,15,3,2,0.964,-0.132,161569.420186
20160616,6,16,3,3,2.475,-1.648,221910.060092
20160617,6,17,3,4,0.739,-0.147,177510.000149
20160620,6,20,4,0,1.028,-0.329,160499.890287
20160621,6,21,4,1,1.475,0.959,164331.500026
20160622,6,22,4,2,0.567,-0.339,157728.45988
20160623,6,23,4,3,2.013,1.427,182974.970114
20160624,6,24,4,4,7.854,-3.663,270177.900356
20160627,6,27,5,0,1.067,-0.194,197079.819893
20160628,6,28,5,1,1.282,0.602,161771.499901
20160629,6,29,5,2,0.693,0.166,149400.269892
20160630,6,30,5,3,0.933,0.45,164322.999837
20160701,7,1,1,4,0.948,-0.727,137077.429943
20160704,7,4,1,0,0.378,-0.046,115028.639716
20160705,7,5,1,1,1.137,-0.841,134233.00964
20160706,7,6,1,2,1.565,-0.36,192304.599547
20160707,7,7,1,3,0.803,-0.558,148760.429961
20160708,7,8,1,4,1.284,-0.296,152787.50003
20160711,7,11,2,0,2.455,2.397,174865.679861
20160712,7,12,2,1,2.536,1.993,227862.169724
20160713,7,13,2,2,0.975,-0.446,222126.569784
20160714,7,14,2,3,1.964,0.928,234174.159872
20160715,7,15,2,4,1.268,0.09,207882.790035
20160718,7,18,3,0,1.635,0.721,156724.370051
20160719,7,19,3,1,0.886,-0.03,177010.760092
20160720,7,20,3,2,1.191,0.849,355323.609953
20160721,7,21,3,3,2.074,-1.246,873920.359419
20160722,7,22,3,4,0.836,0.391,712518.139621
20160725,7,25,4,0,0.983,-0.354,581111.900466
20160726,7,26,4,1,1.896,-1.133,872653.078484
20160727,7,27,4,2,1.947,0.581,830646.799158
20160728,7,28,4,3,1.022,0.131,693720.928882
20160729,7,29,4,4,3.646,-3.316,791671.059258
20160801,8,1,1,0,0.673,0.335,552000.469707
20160802,8,2,1,1,2.151,-1.515,701280.648497
20160803,8,3,1,2,0.821,0.331,613419.058924
20160804,8,4,1,3,0.806,-0.00999999999999,564173.499222
20160805,8,5,1,4,1.189,0.58,529254.659426
20160808,8,8,2,0,0.921,0.678,444906.069277
20160809,8,9,2,1,0.739,-0.521,375529.819508
20160810,8,10,2,2,0.989,-0.64,424216.009617
20160811,8,11,2,3,1.03,0.585,389654.169334
20160812,8,12,2,4,1.439,-0.624,441866.999221
20160815,8,15,3,0,0.583,-0.00300000000001,384889.179243
20160816,8,16,3,1,1.75,-0.966,500379.728872
20160817,8,17,3,2,1.127,-0.039,488025.939138
20160818,8,18,3,3,0.853,-0.31,523260.058748
20160819,8,19,3,4,0.598,0.212,483243.90845
20160822,8,22,4,0,0.81,0.146,620065.888588
20160823,8,23,4,1,0.449,-0.056,600485.9484
20160824,8,24,4,2,0.514,0.231,566963.528238
20160825,8,25,4,3,0.313,0.117,466888.068629
20160826,8,26,4,4,1.882,1.244,538472.888831
20160829,8,29,5,0,0.684,0.086,485454.928889
20160830,8,30,5,1,1.382,1.117,490539.819295
20160831,8,31,5,2,0.67,0.432,542124.318991
20160901,9,1,1,3,0.938,-0.237,542935.579196
20160902,9,2,1,4,1.521,0.8,562628.379298
20160905,9,5,2,0,0.984,-0.582,432299.649273
20160906,9,6,2,1,1.875,-1.411,615152.269272
20160907,9,7,2,2,0.926,-0.264,617008.719621
20160908,9,8,2,3,1.187,0.754,646016.189026
20160909,9,9,2,4,1.09,0.171,678723.798957
20160912,9,12,3,0,1.146,-0.852,707182.828693
20160913,9,13,3,1,1.33,0.825,657325.359076
20160914,9,14,3,2,1.107,-0.222,648323.218819
20160915,9,15,3,3,0.824,-0.286,600531.699054
20160916,9,16,3,4,0.72,0.163,563183.549124
20160919,9,19,4,0,0.834,-0.477,490446.809177
20160920,9,20,4,1,0.522,-0.094,508749.849083
20160921,9,21,4,2,2.436,-1.26,763274.676903
20160922,9,22,4,3,0.832,0.312,618851.076824
20160923,9,23,4,4,0.57,0.257,729402.306524
20160926,9,26,5,0,0.831,-0.785,608361.987138
20160927,9,27,5,1,0.902,0.08,665872.696909
20160928,9,28,5,2,0.559,0.305,589836.097012
20160929,9,29,5,3,1.194,0.395,739826.836518
20160930,9,30,5,4,1.034,0.355,758527.01618
20161003,10,3,1,0,0.473,0.186,519214.537467
20161004,10,4,1,1,1.398,1.262,781800.685998
20161005,10,5,1,2,0.997,0.725,679116.476299
20161006,10,6,1,3,0.813,0.484,603324.236869
20161007,10,7,1,4,1.224,-1.102,672095.316893
20161010,10,10,2,0,0.979,0.692,466662.907985
20161011,10,11,2,1,0.897,-0.187,601181.106945
20161012,10,12,2,2,1.204,0.79,540051.837008
20161013,10,13,2,3,1.302,-0.644,556424.407432
20161014,10,14,2,4,0.889,0.622,628645.416244
20161017,10,17,3,0,0.583,-0.362,531722.196855
20161018,10,18,3,1,0.518,-0.026,496440.166799
20161019,10,19,3,2,0.781,-0.426,457948.507035
20161020,10,20,3,3,0.761,0.524,494685.006667
20161021,10,21,3,4,0.679,-0.119,466265.756989
20161024,10,24,4,0,0.601,0.404,271751.868418
20161025,10,25,4,1,0.759,-0.025,143344.049147
20161026,10,26,4,2,0.595,0.283,142226.949081
20161027,10,27,4,3,1.053,0.764,142596.819128
20161028,10,28,4,4,1.062,-0.537,165497.868963
20161031,10,31,5,0,0.845,0.157,133783.139248
20161101,11,1,1,1,1.317,-0.816,183066.818925
20161102,11,2,1,2,1.146,-0.662,214023.76897
20161103,11,3,1,3,0.907,-0.476,208372.408955
20161104,11,4,1,4,0.522,0.074,183539.808997
20161107,11,7,2,0,1.658,1.461,175598.309058
20161108,11,8,2,1,0.895,0.688,163968.459045
20161109,11,9,2,2,4.697,0.517,468066.718903
20161110,11,10,2,3,1.986,1.139,331157.688437
20161111,11,11,2,4,0.902,-0.162,259525.84863
20161114,11,14,3,0,1.81,1.557,266742.368735
20161115,11,15,3,1,1.565,0.774,242324.278696
20161116,11,16,3,2,0.965,-0.109,218543.768977
20161117,11,17,3,3,1.621,1.068,242594.698904
20161118,11,18,3,4,1.151,0.744,237023.979166
20161121,11,21,4,0,0.906,-0.119,234326.839088
20161122,11,22,4,1,1.087,0.334,214989.389067
20161123,11,23,4,2,2.118,1.367,209197.308988
20161124,11,24,4,3,1.158,0.791,184590.059074
20161125,11,25,4,4,1.343,-0.115,235324.858885
20161128,11,28,5,0,1.611,-0.844,250822.928884
20161129,11,29,5,1,1.721,0.447,221282.149105
20161130,11,30,5,2,2.483,2.076,262672.009337
20161201,12,1,1,3,0.99,-0.384,245399.08951
20161202,12,2,1,4,0.875,-0.601,210793.589498
20161205,12,5,2,0,1.899,0.568,244108.769327
20161206,12,6,2,1,0.684,0.167,182237.39934
20161207,12,7,2,2,0.99,-0.245,161609.719437
20161208,12,8,2,3,1.252,0.295,218915.549271
20161209,12,9,2,4,1.361,1.245,180295.309437
20161212,12,12,3,0,1.27,-0.388,208297.169285
20161213,12,13,3,1,0.738,0.163,196468.309366
20161214,12,14,3,2,2.623,1.859,218966.919357
20161215,12,15,3,3,1.653,1.138,306529.828808
20161216,12,16,3,4,0.957,-0.273,222325.899448
20161219,12,19,4,0,1.417,-0.868,199651.009406
20161220,12,20,4,1,1.252,0.763,195403.029553
20161221,12,21,4,2,0.959,-0.288,169218.749598
20161222,12,22,4,3,0.606,-0.025,156331.059547
20161223,12,23,4,4,0.445,-0.221,102905.589933
20161226,12,26,5,0,0.377,-0.198,98624.3800689
20161227,12,27,5,1,0.576,0.35,112281.239716
20161228,12,28,5,2,0.758,-0.15,127683.799865
20161229,12,29,5,3,1.018,-0.714,159096.539769
20161230,12,30,5,4,1.147,0.407,198133.359746
