date,month,day,week,weekday,res
20170727,7,27,4.571428571428571,3,243989.31943912053
20170728,7,28,4.714285714285714,4,193765.07954269648
20170731,7,31,5.142857142857143,0,161396.70967283845
20170801,8,1,1.2857142857142858,1,206661.53956519067
20170802,8,2,1.4285714285714286,2,206988.55954141173
20170803,8,3,1.5714285714285714,3,175539.15962679684
20170804,8,4,1.7142857142857142,4,174781.96959464252
20170807,8,7,2.142857142857143,0,144793.48957391086
20170808,8,8,2.2857142857142856,1,132991.63970386982
20170809,8,9,2.4285714285714284,2,407358.83163622743
20170810,8,10,2.5714285714285716,3,173604.38967500627
20170811,8,11,2.7142857142857144,4,186734.36970565468
20170814,8,14,3.142857142857143,0,159880.9197607711
20170815,8,15,3.2857142857142856,1,169527.6199261546
20170816,8,16,3.4285714285714284,2,150908.49975176156
20170817,8,17,3.5714285714285716,3,214320.12965745482
20170818,8,18,3.7142857142857144,4,213609.8296275586
20170821,8,21,4.142857142857143,0,158122.9198872298
20170822,8,22,4.285714285714286,1,138557.8599118143
20170823,8,23,4.428571428571429,2,161810.18967024982
20170824,8,24,4.571428571428571,3,164354.85977464914
20170825,8,25,4.714285714285714,4,184347.39974094182
20170828,8,28,5.142857142857143,0,122620.85989797115
20170829,8,29,5.285714285714286,1,252321.43974664807
20170830,8,30,5.428571428571429,2,190086.1398080513
20170831,8,31,5.571428571428571,3,189171.9098379612
20170901,9,1,1.7142857142857142,4,180437.98969219625
20170904,9,4,2.142857142857143,0,116836.38993767649
20170905,9,5,2.2857142857142856,1,172596.49972265962
20170906,9,6,2.4285714285714284,2,170712.39966314286
20170907,9,7,2.5714285714285716,3,186921.25963013622
20170908,9,8,2.7142857142857144,4,197019.51969189945
20170911,9,11,3.142857142857143,0,157920.06978818774
20170912,9,12,3.2857142857142856,1,171289.23971410096
20170913,9,13,3.4285714285714284,2,157287.12986634672
20170914,9,14,3.5714285714285716,3,164024.49985088408
20170915,9,15,3.7142857142857144,4,192867.35986799747
20170918,9,18,4.142857142857143,0,146084.47986296564
20170919,9,19,4.285714285714286,1,184737.3497343734
20170920,9,20,4.428571428571429,2,212404.25978336483
20170921,9,21,4.571428571428571,3,303235.230340734
20170922,9,22,4.714285714285714,4,191382.6101425439
20170925,9,25,5.142857142857143,0,192475.52979301664
20170926,9,26,5.285714285714286,1,174980.90984476358
20170927,9,27,5.428571428571429,2,196503.44973248988
20170928,9,28,5.571428571428571,3,197089.50973044336
20170929,9,29,5.714285714285714,4,198987.94002173093
20171002,10,2,1.1428571428571428,0,152930.3298395127
20171003,10,3,1.2857142857142858,1,165455.6098638475
20171004,10,4,1.4285714285714286,2,154164.66978094727
20171005,10,5,1.5714285714285714,3,170401.26954948154
20171006,10,6,1.7142857142857142,4,177063.50962292406
20171009,10,9,2.142857142857143,0,106751.98974710703
20171010,10,10,2.2857142857142856,1,158372.64955437186
20171011,10,11,2.4285714285714284,2,151488.72965870053
20171012,10,12,2.5714285714285716,3,160800.6196873635
20171013,10,13,2.7142857142857144,4,168356.86952780187
20171016,10,16,3.142857142857143,0,134886.98972013593
20171017,10,17,3.2857142857142856,1,147142.19969151914
20171018,10,18,3.4285714285714284,2,149380.49973374605
20171019,10,19,3.5714285714285716,3,170134.16968227926
20171020,10,20,3.7142857142857144,4,174008.45968623462
20171023,10,23,4.142857142857143,0,153733.19968880713
20171024,10,24,4.285714285714286,1,161402.25968807936
20171025,10,25,4.428571428571429,2,191562.9296374619
20171026,10,26,4.571428571428571,3,170898.99973361194
20171027,10,27,4.714285714285714,4,170290.99987016618
20171030,10,30,5.142857142857143,0,137967.58975696564
20171031,10,31,5.285714285714286,1,147364.43982283026
20171101,11,1,1.4285714285714286,2,162615.86996419728
20171102,11,2,1.5714285714285714,3,176617.08994742486
20171103,11,3,1.7142857142857142,4,128548.64998429267
20171106,11,6,2.142857142857143,0,155914.79003977776
20171107,11,7,2.2857142857142856,1,146600.74998158962
20171108,11,8,2.4285714285714284,2,134996.67000591755
20171109,11,9,2.5714285714285716,3,187336.20956304672
