bHLMN0,bHLMN1,bHLMN2,bOPCL0,bOPCL1,bOPCL2,sEVNT0,sLOSS0,sTIME0,year,lastDateTime,codeArgValStr,average,std,pipsPerHour,countPerMonth,pipsPerMonth,pipsPerMonthTotal
30,0,5,30,12,14,10,40,30,2017,2017-06-02 17:42:00,30_0_5_30_12_14_10_40_30,1.18,8.45,2.37,124,84,84
10,0,4,30,12,14,10,20,90,2017,2017-06-02 17:42:00,10_0_4_30_12_14_10_20_90,1.55,13.93,1.11,323,339,53
10,0,4,30,12,14,10,20,90,2016,2016-12-30 21:32:00,10_0_4_30_12_14_10_20_90,0.06,14.84,0.05,152,-66,53
30,0,10,30,14,16,10,20,60,2017,2017-06-02 16:00:00,30_0_10_30_14_16_10_20_60,0.8,14.33,0.88,565,169,169
10,0,4,30,12,14,10,20,60,2017,2017-06-02 17:42:00,10_0_4_30_12_14_10_20_60,1.18,11.85,1.23,323,219,219
30,0,5,30,14,16,10,30,60,2017,2017-06-02 12:20:00,30_0_5_30_14_16_10_30_60,0.85,12.93,0.89,131,45,45
10,0,1,30,12,14,10,30,60,2017,2017-01-02 13:38:00,10_0_1_30_12_14_10_30_60,2.8,0.0,2.75,45,103,103
30,0,3,30,12,14,10,30,60,2017,2017-05-31 23:23:00,30_0_3_30_12_14_10_30_60,4.86,15.09,4.98,8,34,34
30,0,4,30,12,14,10,30,30,2017,2017-06-02 12:19:00,30_0_4_30_12_14_10_30_30,1.21,7.94,2.45,81,57,57
30,0,2,30,12,14,10,30,90,2017,2017-05-31 23:23:00,30_0_2_30_12_14_10_30_90,21.0,0.0,14.0,0,0,0
30,0,5,30,14,16,10,20,60,2017,2017-06-02 12:20:00,30_0_5_30_14_16_10_20_60,1.05,12.28,1.13,131,72,72
10,0,3,30,12,14,10,20,60,2017,2017-06-01 08:33:00,10_0_3_30_12_14_10_20_60,0.76,11.09,0.79,106,27,27
30,0,2,30,12,14,10,20,30,2017,2017-05-31 23:23:00,30_0_2_30_12_14_10_20_30,3.6,0.0,7.2,0,0,0
30,0,4,30,12,14,10,30,90,2017,2017-06-02 12:19:00,30_0_4_30_12_14_10_30_90,2.31,14.25,1.6,81,146,146
20,0,4,30,12,14,10,20,90,2017,2017-06-02 17:42:00,20_0_4_30_12_14_10_20_90,1.44,13.85,1.04,157,147,147
30,0,10,30,16,18,10,20,60,2017,2017-06-02 15:14:00,30_0_10_30_16_18_10_20_60,0.97,15.04,1.07,389,182,182
10,0,3,30,12,14,10,20,30,2017,2017-06-01 08:33:00,10_0_3_30_12_14_10_20_30,1.03,7.56,2.09,106,56,56
20,0,4,30,12,14,10,20,60,2017,2017-06-02 17:42:00,20_0_4_30_12_14_10_20_60,1.22,12.16,1.28,157,113,113
10,0,1,30,12,14,10,30,90,2017,2017-01-02 13:38:00,10_0_1_30_12_14_10_30_90,1.7,0.0,1.11,30,36,36
10,0,3,30,12,14,10,30,30,2017,2017-06-01 08:33:00,10_0_3_30_12_14_10_30_30,1.15,7.38,2.3,106,68,68
20,0,4,30,12,14,10,20,30,2017,2017-06-02 17:42:00,20_0_4_30_12_14_10_20_30,0.64,7.97,1.31,157,21,21
10,0,3,30,12,14,10,30,60,2017,2017-06-01 08:33:00,10_0_3_30_12_14_10_30_60,0.59,11.72,0.59,106,9,9
15,0,4,30,12,14,10,30,30,2017,2017-06-02 17:42:00,15_0_4_30_12_14_10_30_30,0.82,7.72,1.64,106,33,33
10,0,2,30,12,14,10,20,30,2017,2017-05-31 23:23:00,10_0_2_30_12_14_10_20_30,0.15,6.28,0.31,12,-4,-4
10,0,4,20,12,14,10,30,60,2017,2017-06-02 15:56:00,10_0_4_20_12_14_10_30_60,1.31,12.96,1.35,77,62,62
20,0,3,30,12,14,10,20,60,2017,2017-06-01 05:43:00,20_0_3_30_12_14_10_20_60,0.11,13.17,0.11,27,-10,-10
30,0,9,30,12,14,10,40,30,2017,2017-06-02 17:42:00,30_0_9_30_12_14_10_40_30,0.79,10.05,1.59,366,106,106
10,0,2,30,12,14,10,30,60,2017,2017-05-31 23:23:00,10_0_2_30_12_14_10_30_60,-1.35,11.81,-1.39,12,-22,-22
30,0,5,30,16,18,10,40,30,2017,2017-05-31 08:39:00,30_0_5_30_16_18_10_40_30,-0.43,10.7,-0.86,64,-59,-59
30,0,10,30,14,16,10,20,30,2017,2017-06-02 16:00:00,30_0_10_30_14_16_10_20_30,0.55,10.77,1.14,565,28,28
30,0,10,30,16,18,10,40,30,2017,2017-06-02 15:14:00,30_0_10_30_16_18_10_40_30,0.64,12.03,1.3,389,54,54
15,0,4,30,12,14,10,30,60,2017,2017-06-02 17:42:00,15_0_4_30_12_14_10_30_60,1.37,12.0,1.4,106,92,92
10,0,1,30,12,14,10,20,60,2017,2017-01-02 13:38:00,10_0_1_30_12_14_10_20_60,2.8,0.0,2.75,30,69,69
30,0,4,30,12,14,10,20,60,2017,2017-06-02 12:19:00,30_0_4_30_12_14_10_20_60,2.31,11.72,2.42,81,146,146
30,0,10,30,16,18,10,30,30,2017,2017-06-02 15:14:00,30_0_10_30_16_18_10_30_30,0.7,11.82,1.43,389,77,77
30,0,10,30,16,18,10,40,60,2017,2017-06-02 15:14:00,30_0_10_30_16_18_10_40_60,1.06,15.89,1.08,389,217,217
30,0,10,30,12,14,10,40,30,2017,2017-06-02 17:42:00,30_0_10_30_12_14_10_40_30,0.81,10.52,1.64,395,122,122
30,0,10,30,16,18,10,20,30,2017,2017-06-02 15:14:00,30_0_10_30_16_18_10_20_30,0.76,11.43,1.6,389,101,101
10,0,3,30,12,14,10,20,90,2017,2017-06-01 08:33:00,10_0_3_30_12_14_10_20_90,1.15,12.78,0.82,106,68,68
30,0,7,30,12,14,10,40,30,2017,2017-06-02 17:42:00,30_0_7_30_12_14_10_40_30,0.82,9.36,1.66,268,85,85
30,0,5,30,16,18,10,30,30,2017,2017-05-31 08:39:00,30_0_5_30_16_18_10_30_30,-0.45,10.72,-0.91,64,-60,-59
30,0,3,30,12,14,10,30,30,2017,2017-05-31 23:23:00,30_0_3_30_12_14_10_30_30,0.97,6.18,1.94,8,3,3
