bHLMN0,bHLMN1,bHLMN2,bOPCL0,bOPCL1,bOPCL2,sEVNT0,sGAIN0,sLBND0,sLBND1,sLOSS0,sTIME0,year,lastDateTime,codeArgValStr,average,std,pipsPerHour,countPerMonth,pipsPerMonth,pipsPerMonthTotal
,,,,,,,,,,,,,2016-05-29 22:35:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-07-31 23:54:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-05-15 22:11:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-08-01 00:28:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-05-15 22:27:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-08-01 01:00:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-05-29 23:24:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-08-01 01:27:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-05-30 00:01:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-05-30 00:21:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-05-15 23:02:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-08-01 02:24:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-05-30 01:01:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-08-01 03:04:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-05-15 23:25:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-05-30 01:34:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-08-01 03:20:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-08-01 04:06:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-05-15 23:57:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-05-30 02:06:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-08-01 04:24:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-05-30 02:42:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-08-01 05:41:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-05-30 03:36:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-05-16 00:18:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-08-01 06:49:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-08-01 07:37:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-08-01 07:53:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-05-30 05:43:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-05-30 06:15:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-08-01 08:59:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-05-16 00:41:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-05-30 07:01:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-05-16 01:15:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-08-01 09:32:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-05-16 01:52:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-05-16 02:08:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-05-30 07:25:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-08-01 10:11:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-05-30 07:54:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-05-16 02:28,,,,,,,
,,,,,,,,,,,,,2016-04-29 17:42:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-04-29 18:02:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-11-17 18:20:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-04-29 18:20:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-04-29 18:48:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-04-29 19:26:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-11-17 18:36:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-11-17 18:54:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-10-19 01:18:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-05-01 21:12:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-10-19 01:38:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-05-01 21:54:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-05-01 22:33:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-11-17 19:15:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-11-17 19:40:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-05-02 00:52:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-05-02 01:50:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-11-17 20:03:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-05-02 02:06:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-05-02 03:26:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-10-19 02:19:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-05-02 03:47:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-11-17 22:27:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-11-17 22:43:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-11-17 22:59:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-05-02 05:14:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-05-02 06:01:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-05-02 06:40:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-11-17 23:26:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-11-17 23:47:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-05-02 07:40:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-11-18 00:34:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-05-02 08:09:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-11-18 00:52:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-10-19 06:06:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-11-18 02:09:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-10-19 06:34:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-05-02 10:06:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-05-02 12:15:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-05-02 12:44:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-05-02 13:28:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-05-02 13:59:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-05-02 14:28:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-10-19 06:51:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-05-02 15:09:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-11-18 02:42:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-05-02 16:18:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-11-18 03:04:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-05-02 16:40:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-11-18 04:01:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-05-02 16:56:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-10-19 07:09:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-10-19 07:25:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-10-19 08:01:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-11-18 04:22:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-05-02 17:32:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-05-02 19:15:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-11-18 05:34:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-11-18 05:59:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-11-18 06:34:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-05-02 20:21:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-11-18 06:57:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-11-18 07:19:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-11-18 07:35:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-05-03 00:02:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-05-03 00:39:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-10-19 08:55:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-11-18 07:51:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-12-02 15:42:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-11-01 12:17:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-05-03 01:57:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-05-24 18:30:00,,0.0,0.0,0.0,0.0,0.0,0.0
30.0,0.0,10.0,15.0,7.0,10.0,10.0,10.0,20.0,10.0,30.0,120.0,2016.0,2016-01-04 04:31:00,30_0_10_15_7_10_10_10_20_10_30_120,0.0,0.0,0.0,0.0,0.0,0.0
