bOPCL0,bOPCL1,bOPCL2,sEVNT0,sGAIN0,sLOSS0,year,lastDateTime,codeArgValStr,average,std,pipsPerHour,countPerMonth,pipsPerMonth,pipsPerMonthTotal
15,10,8,20,4,24,2016,2016-01-04 17:20:00,15_10_8_20_4_24,-5.9,13.72,-10.4,235,-1574,-1574
15,10,2,20,2,26,2016,2016-01-04 17:20:00,15_10_2_20_2_26,-2.65,10.92,-6.94,220,-759,-759
5,10,6,20,6,26,2016,2016-01-04 16:14:00,5_10_6_20_6_26,-10.0,16.68,-16.94,106,-1144,-1144
10,10,4,20,4,22,2016,2016-01-04 17:56:00,10_10_4_20_4_22,-2.4,11.32,-5.04,205,-656,-656
5,12,14,20,14,28,2016,2016-01-04 16:15:00,5_12_14_20_14_28,-11.62,21.24,-9.88,76,-943,-943
5,8,10,20,14,28,2016,2016-01-04 16:57:00,5_8_10_20_14_28,-8.41,21.56,-6.86,182,-1676,-1676
5,12,10,20,8,26,2016,2016-01-04 16:15:00,5_12_10_20_8_26,1.11,15.02,2.18,76,23,23
5,12,8,20,6,26,2016,2016-01-04 16:15:00,5_12_8_20_6_26,2.6,10.95,6.14,76,136,136
20,18,62,20,8,26,2016,2016-01-04 16:16:00,20_18_62_20_8_26,0.61,14.58,1.01,98,-18,-18
15,18,16,20,8,26,2016,2016-01-04 16:16:00,15_18_16_20_8_26,-3.35,17.18,-4.96,83,-344,-344
5,12,10,20,8,28,2016,2016-01-04 16:15:00,5_12_10_20_8_28,1.21,14.82,2.36,76,31,30
5,10,14,20,12,28,2016,2016-01-04 16:14:00,5_10_14_20_12_28,-12.7,20.24,-11.84,106,-1431,-1431
15,10,2,20,2,28,2016,2016-01-04 17:20:00,15_10_2_20_2_28,-2.43,10.7,-4.72,220,-710,-710
10,8,2,20,8,28,2016,2016-01-04 20:04:00,10_8_2_20_8_28,-7.92,17.91,-7.64,243,-2118,-2118
20,18,62,20,8,28,2016,2016-01-04 16:16:00,20_18_62_20_8_28,0.11,15.58,0.16,98,-67,-67
20,18,26,20,10,26,2016,2016-01-04 16:16:00,20_18_26_20_10_26,-4.72,18.58,-5.56,98,-540,-540
20,16,16,20,6,26,2016,2016-01-04 16:24:00,20_16_16_20_6_26,-2.54,15.14,-4.43,136,-454,-454
25,12,22,20,6,26,2016,2016-01-04 17:07:00,25_12_22_20_6_26,-7.08,16.49,-8.55,250,-1970,-1970
20,8,6,20,4,22,2016,2016-01-04 20:08:00,20_8_6_20_4_22,-4.5,12.18,-7.37,334,-1770,-1770
5,10,2,20,10,28,2016,2016-01-04 16:14:00,5_10_2_20_10_28,-10.3,19.85,-10.67,106,-1176,-1176
5,10,14,20,8,22,2016,2016-01-04 16:14:00,5_10_14_20_8_22,-12.05,14.94,-14.84,106,-1362,-1362
20,18,50,20,10,26,2016,2016-01-04 16:16:00,20_18_50_20_10_26,-4.72,18.58,-5.56,98,-540,-540
30,10,10,20,8,18,2016,2016-01-04 20:12:00,30_10_10_20_8_18,-5.52,12.82,-6.25,334,-2110,-2110
20,16,48,20,8,26,2016,2016-01-04 16:24:00,20_16_48_20_8_26,-1.31,15.94,-2.05,136,-286,-286
10,10,4,20,8,28,2016,2016-01-04 17:56:00,10_10_4_20_8_28,-6.4,18.23,-5.29,205,-1476,-1476
5,8,16,20,4,28,2016,2016-01-04 16:57:00,5_8_16_20_4_28,-5.54,15.07,-9.81,182,-1153,-1153
10,12,16,20,4,28,2016,2016-01-04 17:00:00,10_12_16_20_4_28,-10.74,16.6,-14.41,121,-1396,-1396
10,10,18,20,10,28,2016,2016-01-04 17:56:00,10_10_18_20_10_28,-6.79,18.55,-4.5,220,-1669,-1669
5,10,2,20,10,26,2016,2016-01-04 16:14:00,5_10_2_20_10_26,-11.59,17.8,-12.86,106,-1313,-1313
20,18,28,20,8,24,2016,2016-01-04 16:16:00,20_18_28_20_8_24,-1.08,15.2,-2.12,98,-184,-184
20,18,48,20,8,26,2016,2016-01-04 16:16:00,20_18_48_20_8_26,0.61,14.58,1.01,98,-18,-18
20,18,58,20,8,26,2016,2016-01-04 16:16:00,20_18_58_20_8_26,0.61,14.58,1.01,98,-18,-18
10,10,14,20,6,28,2016,2016-01-04 17:56:00,10_10_14_20_6_28,-5.89,16.28,-5.89,220,-1471,-1471
10,10,2,20,6,28,2016,2016-01-04 17:56:00,10_10_2_20_6_28,-4.02,15.48,-3.9,190,-915,-915
20,18,58,20,8,28,2016,2016-01-04 16:16:00,20_18_58_20_8_28,0.11,15.58,0.16,98,-67,-67
35,12,10,20,6,16,2016,2016-01-04 20:04:00,35_12_10_20_6_16,-3.12,11.27,-5.4,281,-1101,-1101
20,20,16,20,8,26,2016,2016-01-04 16:17:00,20_20_16_20_8_26,-1.89,16.47,-2.05,76,-204,-204
20,18,48,20,8,28,2016,2016-01-04 16:16:00,20_18_48_20_8_28,0.11,15.58,0.16,98,-67,-67
10,12,8,20,8,24,2016,2016-01-04 17:00:00,10_12_8_20_8_24,-11.78,15.95,-11.56,114,-1434,-1434
10,10,2,20,2,16,2016,2016-01-04 17:56:00,10_10_2_20_2_16,-0.1,6.53,-0.54,190,-171,-171
5,12,12,20,8,24,2016,2016-01-04 16:15:00,5_12_12_20_8_24,2.03,13.1,4.97,76,93,93
20,18,16,20,6,28,2016,2016-01-04 16:16:00,20_18_16_20_6_28,-0.7,15.09,-1.16,98,-147,-147
25,18,44,20,8,26,2016,2016-01-04 16:16:00,25_18_44_20_8_26,-3.91,17.03,-4.36,129,-607,-607
20,16,62,20,8,26,2016,2016-01-04 16:24:00,20_16_62_20_8_26,-1.31,15.94,-2.05,136,-286,-286
10,10,8,20,4,24,2016,2016-01-04 17:56:00,10_10_8_20_4_24,-4.12,12.75,-7.31,212,-1043,-1043
10,8,4,20,2,16,2016,2016-01-04 20:04:00,10_8_4_20_2_16,-1.25,7.28,-5.66,266,-545,-545
20,18,60,20,8,24,2016,2016-01-04 16:16:00,20_18_60_20_8_24,-1.08,15.2,-2.12,98,-184,-184
25,12,18,20,6,26,2016,2016-01-04 17:26:00,25_12_18_20_6_26,-5.89,15.87,-6.16,266,-1779,-1779
10,8,20,20,6,28,2016,2016-01-04 20:04:00,10_8_20_20_6_28,-6.35,16.0,-7.31,281,-2009,-2009
10,8,4,20,2,20,2016,2016-01-04 20:04:00,10_8_4_20_2_20,-1.43,8.33,-4.54,266,-593,-593
20,18,16,20,6,26,2016,2016-01-04 16:16:00,20_18_16_20_6_26,-0.2,14.09,-0.38,98,-98,-98
25,16,20,20,6,26,2016,2016-01-04 17:17:00,25_16_20_20_6_26,-5.82,16.65,-7.66,182,-1204,-1204
25,18,26,20,8,26,2016,2016-01-04 16:16:00,25_18_26_20_8_26,-3.91,17.03,-4.36,129,-607,-607
15,12,4,20,8,24,2016,2016-01-04 17:04:00,15_12_4_20_8_24,-8.06,17.05,-8.54,121,-1072,-1072
5,10,4,20,2,22,2016,2016-01-04 16:14:00,5_10_4_20_2_22,-0.59,6.34,-3.25,106,-147,-147
